City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
408,Varna,BG,58.87,broken clouds,43.2167,27.9167,Hotel Gran Ivan
410,Sinnamary,GF,81.3,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
411,Asau,RO,55.76,clear sky,46.4333,26.4,Casa Mika Ciobanus
412,Henties Bay,,61.86,clear sky,-22.116,14.2845,Fishermans Guest House
414,Ilulissat,GL,35.62,broken clouds,69.2167,-51.1,Hotel Arctic
415,Birecik,TR,67.21,overcast clouds,37.0294,37.9903,Birecik Ogretmenevi
416,Mon,IN,62.28,few clouds,26.75,95.1,NCK Cottage
417,Shimoda,JP,56.1,broken clouds,34.6667,138.95,Shimoda Tokyu Hotel
418,Mastic Beach,US,64.18,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
419,Tiznit,MA,78.26,clear sky,29.5833,-9.5,
420,Oranjemund,,68.09,clear sky,-28.55,16.4333,The Fisherman's Cove
